id,segment,segment_name,age,income,time_scarcity,fashion_interest,price_sensitivity,platform_preference,wtp_subscription,wtp_per_outfit,wtp_bundle_10
busy_professional_0,busy_professional,Busy Professional,34,71244.13777090126,9.273149608675611,6.568633000493787,0.9736900246531509,LinkedIn,46.62820526846145,6.652626279042782,46.568383953299474
busy_professional_1,busy_professional,Busy Professional,37,91976.03230500343,10.0,5.302946239171782,0.5949660385643705,LinkedIn,77.92964123913147,10.001692525976548,70.01184768183583
busy_professional_2,busy_professional,Busy Professional,32,121559.45300865044,10.0,3.0730730219327724,0.8206882450076263,LinkedIn,53.85022706158682,5.954261797126036,41.67983257988225
busy_professional_3,busy_professional,Busy Professional,39,90551.97253911858,7.3480352470853845,6.1709575228639855,0.6930695631544801,LinkedIn,60.551769430527145,9.233419077045895,64.63393353932126
busy_professional_4,busy_professional,Busy Professional,36,88055.479130567,7.72684650686132,5.279695379872906,0.8894879642093277,LinkedIn,46.32184287958702,6.652239802810649,46.56567861967454
busy_professional_5,busy_professional,Busy Professional,32,66273.08691391611,7.332426989363658,7.138611429262819,1.0161701172078053,LinkedIn,41.188833688447104,6.6229847779692586,46.36089344578481
busy_professional_6,busy_professional,Busy Professional,35,105563.62280257973,6.668734525043467,6.250636314005707,0.30806597522404483,LinkedIn,134.3391663980484,21.173729259657513,148.21610481760257
busy_professional_7,busy_professional,Busy Professional,37,73463.35704564542,8.599985917762936,5.78845720568909,0.9401785543899056,LinkedIn,45.66378850746224,6.478784904566329,45.35149433196429
busy_professional_8,busy_professional,Busy Professional,37,90465.95790134656,9.822641558422916,4.789097588561871,0.3833411572926224,LinkedIn,117.54648296243946,14.797222601901076,103.58055821330751
busy_professional_9,busy_professional,Busy Professional,29,143518.65835257617,10.0,6.11569977483631,0.7838204211195285,LinkedIn,64.09909361200646,8.436465904135698,59.05526132894989
busy_professional_10,busy_professional,Busy Professional,40,93102.09923486988,7.922376579375525,5.1876935996328495,0.8223352577681735,LinkedIn,50.776007608669474,7.169706867901434,50.18794807531003
busy_professional_11,busy_professional,Busy Professional,35,108264.61001927755,9.516651114510012,6.838128311053154,0.7347204127329608,LinkedIn,66.34979991425739,9.323008370744118,65.26105859520882
busy_professional_12,busy_professional,Busy Professional,37,47296.16776131293,10.0,5.786721454475214,0.6179233382627398,LinkedIn,70.17650127533821,9.491311370032614,66.43917959022829
busy_professional_13,busy_professional,Busy Professional,35,108750.13488767951,10.0,6.549462092400018,0.36314252432682365,LinkedIn,135.93038216926345,18.445168203186952,129.11617742230865
busy_professional_14,busy_professional,Busy Professional,30,94040.90062619085,7.532320368092313,6.433674726610096,1.0076073132931938,LinkedIn,42.65934704148908,6.508439481827591,45.559076372793136
busy_professional_15,busy_professional,Busy Professional,34,81236.65354350544,7.051663492157537,6.1805868937327135,0.6773157497307211,LinkedIn,60.23894354636968,9.370870706887821,65.59609494821474
busy_professional_16,busy_professional,Busy Professional,28,87294.01941338756,5.518646628098661,5.736393734594985,0.7714225143023492,LinkedIn,48.16690528118487,7.975181542602251,55.82627079821576
busy_professional_17,busy_professional,Busy Professional,40,49535.08842461105,8.785505477447751,6.162904595371783,0.8216179324001922,LinkedIn,50.83198886261653,7.3957949218951935,51.77056445326635
busy_professional_18,busy_professional,Busy Professional,30,97536.20828812013,10.0,6.308540244067535,0.7629025791726343,LinkedIn,63.35499287561428,8.535111883187279,59.745783182310944
busy_professional_19,busy_professional,Busy Professional,39,109066.03224999255,8.185461344744503,5.071148483104196,0.6280443709416025,LinkedIn,68.36840529823485,9.411079716131594,65.87755801292116
busy_professional_20,busy_professional,Busy Professional,36,67448.67265306618,8.008506780103348,5.52947021624141,0.40729701037357624,LinkedIn,100.28160166903413,14.521643895987932,101.65150727191552
busy_professional_21,busy_professional,Busy Professional,31,51265.25066917478,6.971390821947895,6.152414687246158,0.4501112554400146,LinkedIn,85.08049157155095,13.528647382249476,94.70053167574633
busy_professional_22,busy_professional,Busy Professional,32,57593.35511796611,9.872326482889019,5.200727255723486,0.5972425016983507,LinkedIn,72.54920177352348,9.492189080874589,66.44532356612211
busy_professional_23,busy_professional,Busy Professional,35,61423.57978831844,10.0,5.9777390345860315,0.3652990756019553,LinkedIn,123.58458023373255,16.687446348123007,116.81212443686104
busy_professional_24,busy_professional,Busy Professional,28,73955.84941934967,8.373752372228234,7.484419287523754,0.41470422305488946,LinkedIn,108.91098893504464,16.810651517737902,117.67456062416532
busy_professional_25,busy_professional,Busy Professional,29,22531.02145903222,10.0,8.590474228035724,0.9463556753432221,LinkedIn,45.34495722283063,7.17503042779909,50.22521299459362
busy_professional_26,busy_professional,Busy Professional,34,65616.5973510764,9.659711283833873,5.037806587980367,0.9768031437865357,LinkedIn,44.38877661943996,5.783353262431643,40.483472837021495
busy_professional_27,busy_professional,Busy Professional,31,83864.93361782908,8.825405089243514,6.614908478845924,0.8086977382484871,LinkedIn,56.19143470632773,8.149890738778812,57.04923517145167
busy_professional_28,busy_professional,Busy Professional,36,60236.591871732795,7.650553405595842,6.11958163810517,0.5993048691767601,LinkedIn,67.4757685599337,10.274948363298673,71.92463854309071
busy_professional_29,busy_professional,Busy Professional,38,102953.20699561777,7.07279237402794,5.356607879785173,0.9193057712989764,LinkedIn,44.24993114618791,6.564221291578029,45.949549041046204
busy_professional_30,busy_professional,Busy Professional,34,98408.40080955163,7.127963603108084,6.744657859154082,0.6678125246273873,LinkedIn,64.15923297857393,10.103286259785126,70.72300381849587
busy_professional_31,busy_professional,Busy Professional,28,114230.19117381556,9.80997545363414,6.2467801608080045,0.4113033296607522,LinkedIn,118.46576021493566,15.956150673773083,111.69305471641158
busy_professional_32,busy_professional,Busy Professional,37,105337.93043424175,6.6537035253490675,6.272951921524955,0.9614285508564856,LinkedIn,43.03861419178571,6.795769498559903,47.57038648991932
busy_professional_33,busy_professional,Busy Professional,39,86570.61499332957,9.252394548019259,5.823665528495552,0.7361245947480439,LinkedIn,61.48594868517987,8.41394185702604,58.89759299918228
busy_professional_34,busy_professional,Busy Professional,36,117484.92035661219,7.19928076592567,6.741169014613374,0.943414159396022,LinkedIn,46.541549510133294,7.253757276209895,50.77630093346926
busy_professional_35,busy_professional,Busy Professional,38,106349.94466237252,10.0,6.680272884944505,0.6670999131676191,LinkedIn,74.12274123739667,10.127050152539331,70.88935106777531
busy_professional_36,busy_professional,Busy Professional,36,131644.3627786189,9.21074938136768,4.570435803356822,0.8313107217267659,LinkedIn,54.56118342024524,6.8922882573089534,48.24601780116267
busy_professional_37,busy_professional,Busy Professional,28,84878.57638372426,7.925015040601146,5.444967767757897,0.4775005291341104,LinkedIn,87.34582077057595,12.535109425585391,87.74576597909773
busy_professional_38,busy_professional,Busy Professional,35,95612.15610141127,9.910803377443015,4.95883069202475,0.7291723704856619,LinkedIn,62.85104281452175,7.937702942505402,55.56392059753781
busy_professional_39,busy_professional,Busy Professional,30,52035.745981047185,9.580580863057294,6.379069088582779,0.7118562568106391,LinkedIn,61.75002235129462,8.725061577874635,61.07543104512244
busy_professional_40,busy_professional,Busy Professional,30,91917.26998325047,9.740774873554036,6.015602270253488,0.9907068154314633,LinkedIn,47.39658511014103,6.384861937048708,44.69403355934095
busy_professional_41,busy_professional,Busy Professional,39,106253.01455309644,9.091509927197245,5.9943648063917285,0.38583760329447686,LinkedIn,120.0416677053834,16.560966002148156,115.92676201503707
busy_professional_42,busy_professional,Busy Professional,31,86049.50161175057,8.294092274353275,5.851041133342009,0.8480681635895476,LinkedIn,50.96275057229383,7.316561016391697,51.21592711474187
busy_professional_43,busy_professional,Busy Professional,32,93409.9690946563,8.57594471637275,5.739051627715171,0.6049485303199048,LinkedIn,72.86482380724748,10.229218896686232,71.60453227680362
busy_professional_44,busy_professional,Busy Professional,34,82219.90000474328,5.87639584874258,4.3903158024646025,0.37566107581130326,LinkedIn,94.49649350018385,14.426823225323355,100.98776257726348
busy_professional_45,busy_professional,Busy Professional,33,100751.87346502519,10.0,6.27714446753416,0.5382126217219277,LinkedIn,90.0577219559914,12.09957693459111,84.69703854213776
busy_professional_46,busy_professional,Busy Professional,33,52357.56114897274,7.373857235398491,4.769400156335812,0.4633920777329894,LinkedIn,80.11213718983596,11.66668414525812,81.66678901680683
busy_professional_47,busy_professional,Busy Professional,35,112076.28107938192,10.0,4.34679675845149,0.5124349920169754,LinkedIn,89.54616447586122,10.80351442624487,75.62460098371409
busy_professional_48,busy_professional,Busy Professional,34,46214.151397733694,7.734260170633607,5.120458637947532,0.7390692945093945,LinkedIn,51.088381939893075,7.4718337342574594,52.30283613980222
busy_professional_49,busy_professional,Busy Professional,34,120933.90820833818,8.510959559110947,7.597057593566502,0.8976405221008223,LinkedIn,53.93440401435145,8.154803561423615,57.083624929965296
busy_professional_50,busy_professional,Busy Professional,39,45986.07318906827,10.0,4.559841914723804,0.9402760888435382,LinkedIn,44.01215781233372,5.57447187051153,39.02130309358071
busy_professional_51,busy_professional,Busy Professional,37,40287.58737548759,9.035956812904951,5.5025618335321305,0.7160397425081628,LinkedIn,56.090273737526346,7.881389811987799,55.16972868391459
busy_professional_52,busy_professional,Busy Professional,31,35211.55533671466,9.139038800251003,5.3504574700320395,0.8553646008851206,LinkedIn,46.081850005250395,6.432787281376011,45.02951096963207
busy_professional_53,busy_professional,Busy Professional,39,66740.83420707159,8.824687884372961,6.0546862078845765,0.5696799304788366,LinkedIn,76.01042089143881,10.845625075264275,75.91937552684992
busy_professional_54,busy_professional,Busy Professional,30,119085.88727379261,9.743148966407313,6.018171933911837,0.7884148033733462,LinkedIn,61.431503647447975,8.196242856967102,57.37369999876971
busy_professional_55,busy_professional,Busy Professional,30,68455.3383807903,9.778650002194336,5.0489751138807595,0.6770527117066202,LinkedIn,64.77372350258145,8.382267305143138,58.67587113600196
busy_professional_56,busy_professional,Busy Professional,32,129532.27692565917,7.483876498427865,4.14140558421109,0.6313741871791804,LinkedIn,64.4102584287183,8.695250326676295,60.866752286734055
busy_professional_57,busy_professional,Busy Professional,33,108634.54225218917,10.0,6.452755518552491,1.0302701972958979,LinkedIn,47.750741596305666,6.450767056500089,45.15536939550062
busy_professional_58,busy_professional,Busy Professional,33,55410.67080138656,8.843455648345657,5.592736448186164,0.5369458126956153,LinkedIn,77.52346787002078,10.89141366102592,76.23989562718144
busy_professional_59,busy_professional,Busy Professional,39,96095.48570365571,9.661951080144005,4.8876834341063,0.6880949287876399,LinkedIn,65.69025726115653,8.3604179670911,58.5229257696377
busy_professional_60,busy_professional,Busy Professional,32,52626.438138003505,8.34232224288038,3.606046114130821,0.43996143168131197,LinkedIn,84.87365744761158,10.965463712112088,76.75824598478461
busy_professional_61,busy_professional,Busy Professional,37,85045.34027986691,9.63390292268748,8.32025115531599,0.7827749674501614,LinkedIn,63.854048941599615,9.56911779982876,66.98382459880132
busy_professional_62,busy_professional,Busy Professional,35,93601.70328505056,9.889348814327551,6.729406248401766,0.9065025585655763,LinkedIn,53.54496930192838,7.403555889117563,51.82489122382294
busy_professional_63,busy_professional,Busy Professional,30,69621.65805571673,10.0,6.824218215319165,0.7141944831279492,LinkedIn,66.07090310478729,9.23626356266148,64.65384493863034
busy_professional_64,busy_professional,Busy Professional,30,97535.66892565205,10.0,5.197230207219977,0.5263831549191024,LinkedIn,88.37966647552548,11.25330730792704,78.77315115548927
busy_professional_65,busy_professional,Busy Professional,39,92024.79669337581,7.565950720269109,5.75025329957127,0.6013998130682333,LinkedIn,69.56724459068856,10.286720563200774,72.00704394240542
busy_professional_66,busy_professional,Busy Professional,37,56876.20655417858,10.0,5.96589425088112,0.3567151108112056,LinkedIn,125.2726933190851,16.960058114441452,118.72040680109015
busy_professional_67,busy_professional,Busy Professional,37,108800.27734616736,10.0,6.434416694330965,0.8162628268071448,LinkedIn,60.243764281001276,8.131043875740795,56.91730713018556
busy_professional_68,busy_professional,Busy Professional,32,86268.59897138167,9.241899837822572,8.013966611787474,0.3251062250280976,LinkedIn,149.915728400593,22.574006348674086,158.0180444407186
busy_professional_69,busy_professional,Busy Professional,30,84477.4601508963,8.675991074963173,7.53319787494611,0.581685722232834,LinkedIn,80.17140173521479,12.162660104942255,85.13862073459578
busy_professional_70,busy_professional,Busy Professional,35,89512.31263748869,10.0,6.917373882390853,0.47776723745118044,LinkedIn,102.18138167049374,14.202279467095122,99.41595626966584
busy_professional_71,busy_professional,Busy Professional,34,74802.11618071761,8.8924345839587,6.01457581088787,0.8861868167948158,LinkedIn,49.65192628617692,7.015987417749462,49.11191192424623
busy_professional_72,busy_professional,Busy Professional,36,102048.8242823741,8.034599865109817,6.38899962298613,0.673971389126463,LinkedIn,65.92479324358796,9.76058955262591,68.32412686838137
busy_professional_73,busy_professional,Busy Professional,31,132807.94099599926,10.0,3.849545879837742,0.6106452976420184,LinkedIn,75.27106134226602,8.749177178644244,61.244240250509705
busy_professional_74,busy_professional,Busy Professional,36,48983.681529829584,8.903976481378807,8.17639989105469,0.780916579023505,LinkedIn,57.56307272286221,9.060579321557876,63.42405525090513
busy_professional_75,busy_professional,Busy Professional,39,107224.60735692883,9.244096349838813,6.066686588332759,0.7120465842978182,LinkedIn,65.75606087109173,9.034720870958406,63.243046096708845
busy_professional_76,busy_professional,Busy Professional,40,72363.94315520342,6.464821773372156,4.102015289262545,0.7158018028488112,LinkedIn,49.908062068440024,7.283018457708493,50.98112920395944
busy_professional_77,busy_professional,Busy Professional,35,48797.8914625669,6.388804338435167,5.137866934497077,0.6573105696576305,LinkedIn,53.8130692752802,8.45439305337952,59.18075137365664
busy_professional_78,busy_professional,Busy Professional,40,121956.30287056159,7.180798239629865,5.049936025613305,0.4656046291099109,LinkedIn,88.54599227890911,12.785223782086597,89.49656647460617
busy_professional_79,busy_professional,Busy Professional,30,70644.96377980802,6.262038511811726,7.90818926281302,0.7943283908896137,LinkedIn,51.81743670416922,9.017519976613956,63.12263983629769
busy_professional_80,busy_professional,Busy Professional,35,93067.96400845224,7.259153584671515,6.623215817089407,1.0065477826005156,LinkedIn,42.36939924495197,6.608946459976503,46.26262521983551
busy_professional_81,busy_professional,Busy Professional,36,48859.750688197935,7.23379462972339,5.588158516042599,0.7915352908857678,LinkedIn,47.67451937259221,7.305384143120279,51.137689001841956
busy_professional_82,busy_professional,Busy Professional,33,37581.31949542694,9.398639988743712,5.798315052953364,0.7570350649299307,LinkedIn,54.04501773877311,7.599199917583507,53.19439942308455
busy_professional_83,busy_professional,Busy Professional,30,85612.75435647357,9.246997436868174,7.74137232935405,0.8918541652170413,LinkedIn,54.11945220059778,8.063696475944772,56.4458753316134
busy_professional_84,busy_professional,Busy Professional,28,115010.28871033495,10.0,5.866881677244588,0.8952618252962204,LinkedIn,54.2343819922958,7.107133252570907,49.74993276799634
busy_professional_85,busy_professional,Busy Professional,39,60319.269808176876,7.763254706875814,4.549053132526817,1.0178288264405102,LinkedIn,37.592905334477614,5.266589544829707,36.866126813807945
busy_professional_86,busy_professional,Busy Professional,39,66021.68346115755,8.725590679714312,6.410107170932592,1.0752341678431772,LinkedIn,40.539795914169645,5.910214125513264,41.371498878592845
busy_professional_87,busy_professional,Busy Professional,28,128193.69068585648,6.261097953376461,5.224440600839102,0.6192890086306178,LinkedIn,64.09978483163292,9.80347435214822,68.62432046503753
busy_professional_88,busy_professional,Busy Professional,30,103549.07541323663,10.0,6.840291544034903,0.6735401112115075,LinkedIn,73.57174235369604,10.134697465263814,70.94288225684669
busy_professional_89,busy_professional,Busy Professional,29,54206.730812254355,8.784377380240883,7.6795159774232795,0.6105143951483724,LinkedIn,72.97461611529745,11.28187996680125,78.97315976760875
busy_professional_90,busy_professional,Busy Professional,29,42171.63677272805,10.0,5.862552185696859,0.9475632623946924,LinkedIn,45.19198859657934,6.166926566931939,43.16848596852357
busy_professional_91,busy_professional,Busy Professional,30,90467.07730690352,7.773436462046044,7.966631983648743,0.7450470705611206,LinkedIn,61.4457316685638,9.85573363720599,68.99013546044192
busy_professional_92,busy_professional,Busy Professional,30,122905.8330733474,8.968687721646921,5.624371550140271,0.3801753054925034,LinkedIn,121.58117703952446,16.482492503761204,115.37744752632842
busy_professional_93,busy_professional,Busy Professional,28,88007.39079279747,9.271658251088123,6.853937853706667,0.47507158163242613,LinkedIn,99.04301839415851,14.19280067986368,99.34960475904576
busy_professional_94,busy_professional,Busy Professional,29,64302.67302710717,8.044203346853608,6.290800423299735,1.1094797842260475,LinkedIn,37.72300461624874,5.660029488363877,39.620206418547134
busy_professional_95,busy_professional,Busy Professional,33,72052.19360485915,9.839238046448283,5.3240896662475645,1.2078515582421785,LinkedIn,37.00420023436233,4.836465442046523,33.85525809432566
busy_professional_96,busy_professional,Busy Professional,34,101134.39873962868,10.0,4.842091847303875,0.8372102919996878,LinkedIn,55.11398114869274,6.871316434794444,48.09921504356111
busy_professional_97,busy_professional,Busy Professional,33,90077.83869866266,8.574359093949107,7.93269415586796,0.9547986781177638,LinkedIn,49.67117819413088,7.669191128738964,53.684337901172746
busy_professional_98,busy_professional,Busy Professional,38,91279.87430549186,7.819305002541766,3.5649229738872132,1.0922606943927275,LinkedIn,35.53004392053107,4.6074104923439645,32.25187344640775
busy_professional_99,busy_professional,Busy Professional,39,90501.85822009052,5.67417476614916,7.162354181552813,0.8291465577446494,LinkedIn,48.19330738766322,8.346358590060612,58.42451013042428
